,Key,Value
612,mark.n.04,5
613,top.n.02,5
614,ammunition.n.01,5
615,attribute.n.02,5
616,shower.n.03,5
617,turk.n.01,5
618,reading.n.03,5
619,cloak.n.02,5
620,mammary_gland.n.01,5
621,handkerchief.n.01,5
622,cooling_system.n.02,5
623,electric_refrigerator.n.01,5
624,packing_material.n.01,4
625,succession.n.02,4
626,sound_property.n.01,4
627,size.n.02,4
628,pride.n.01,4
629,pedaler.n.01,4
630,knob.n.02,4
631,salt.n.01,4
632,flight_feather.n.01,4
633,lamp.n.02,4
634,minibike.n.01,4
635,plate_glass.n.01,4
636,mask.n.04,4
637,wound.n.01,4
638,travel.n.01,4
639,matter.n.03,4
640,elegance.n.01,4
641,propulsion.n.02,4
642,melon.n.02,4
643,rack.n.05,4
644,horseman.n.01,4
645,skilled_worker.n.01,4
646,net.n.06,4
647,acoustic_device.n.01,4
648,cleaning_implement.n.01,4
649,headgear.n.03,4
650,feather.n.01,4
651,big_cat.n.01,4
652,sailing_vessel.n.01,4
653,dock.n.05,4
654,book.n.01,4
655,track.n.03,4
656,biome.n.01,4
657,driver.n.01,4
658,tube.n.04,4
659,window.n.01,4
660,strengthener.n.01,4
661,concept.n.01,4
662,lepidopterous_insect.n.01,4
663,situation.n.01,4
664,consumer.n.01,4
665,synovial_joint.n.01,4
666,plate.n.04,4
667,plot.n.02,4
668,key.n.15,4
669,lap.n.04,4
670,rubbish.n.01,4
671,ad.n.01,4
672,stop.n.05,4
673,mat.n.07,4
674,macule.n.01,4
675,electrical_discharge.n.01,4
676,holder.n.01,4
677,furnishing.n.02,4
678,party.n.02,4
679,idler.n.01,4
680,relish.n.02,4
681,supporter.n.01,4
682,domestic_fowl.n.01,4
683,outline.n.01,4
684,combustion.n.01,4
685,shaker.n.03,4
686,flower.n.01,4
687,horse.n.01,4
688,nike.n.01,4
689,domestic_animal.n.01,3
690,compound.n.02,3
691,skullcap.n.01,3
692,tent.n.01,3
693,adventurer.n.01,3
694,structure.n.04,3
695,shaft.n.03,3
696,consumption.n.01,3
697,quick_bread.n.01,3
698,hominid.n.01,3
699,enrollee.n.01,3
700,pick.n.06,3
701,position.n.07,3
702,jacket.n.01,3
703,skating.n.01,3
704,sauce.n.01,3
705,station.n.01,3
706,border.n.05,3
707,columbiform_bird.n.01,3
708,frozen_dessert.n.01,3
709,freight_car.n.01,3
710,electric_lamp.n.01,3
711,handicraft.n.02,3
712,definite_quantity.n.01,3
713,sheet_metal.n.01,3
714,fragment.n.01,3
715,land.n.02,3
716,bat.n.05,3
717,ingredient.n.03,3
718,curtain.n.01,3
719,farm_building.n.01,3
720,hypothesis.n.02,3
721,pin.n.09,3
722,document.n.01,3
723,fact.n.02,3
724,blood_vessel.n.01,3
725,screen.n.03,3
726,globule.n.01,3
727,dress.n.01,3
728,airfoil.n.01,3
729,list.n.01,3
730,peel.n.01,3
731,conserve.n.01,3
732,plain.n.01,3
733,gown.n.01,3
734,plant_part.n.01,3
735,weapon.n.01,3
736,condition.n.01,3
737,glove.n.02,3
738,body_waste.n.01,3
739,containerful.n.01,3
740,rescue_equipment.n.01,3
741,participant.n.01,3
742,marrow.n.02,3
743,aviator.n.01,3
744,sweet_roll.n.01,3
745,fear.n.01,3
746,type.n.04,3
747,floral_leaf.n.01,3
748,leaf.n.02,3
749,clique.n.01,3
750,match.n.02,3
751,bark.n.01,3
752,hairpiece.n.01,3
753,pod.n.02,3
754,assistant.n.01,3
755,harvester.n.02,3
756,mansion.n.02,3
757,navigational_instrument.n.01,3
758,reproducer.n.01,3
759,boot.n.01,3
760,concoction.n.01,3
761,alliaceous_plant.n.01,3
762,component.n.01,3
763,extent.n.02,3
764,arrangement.n.03,3
765,flower.n.02,3
766,newlywed.n.01,3
767,pedestrian.n.01,3
768,front.n.04,3
769,bill.n.07,3
770,guard.n.01,3
771,cruciferous_vegetable.n.01,3
772,illumination.n.02,3
773,sweet.n.03,3
774,lighter-than-air_craft.n.01,3
775,sky.n.01,3
776,tenant.n.01,3
777,line.n.04,3
778,atmospheric_phenomenon.n.01,3
779,linen.n.03,3
780,lighter.n.02,3
781,resident.n.01,3
782,pasta.n.02,3
783,plant.n.02,2
784,transition.n.03,2
785,antelope.n.01,2
786,intuition.n.02,2
787,park.n.02,2
788,principal.n.05,2
789,temperature_unit.n.01,2
790,merchandise.n.01,2
791,output.n.02,2
792,extremity.n.01,2
793,bow.n.05,2
794,car_mirror.n.01,2
795,structural_member.n.01,2
796,record.n.01,2
797,skeleton.n.04,2
798,pastry.n.02,2
799,white_matter.n.01,2
800,amphibian.n.03,2
801,fact.n.01,2
802,particulate.n.01,2
803,base_hit.n.01,2
804,excavation.n.03,2
805,dipterous_insect.n.01,2
806,weather.n.01,2
807,periodic_event.n.01,2
808,scenery.n.01,2
809,beam.n.02,2
810,bag.n.04,2
811,sphere.n.05,2
812,juice.n.01,2
813,circuit.n.01,2
814,cold_cereal.n.01,2
815,force.n.04,2
816,cavity.n.04,2
817,nucleotide.n.01,2
818,telephone.n.02,2
819,environment.n.01,2
820,tire.n.01,2
821,gate.n.01,2
822,deterioration.n.02,2
823,piciform_bird.n.01,2
824,association.n.01,2
825,appliance.n.02,2
826,geographic_point.n.01,2
827,italian.n.01,2
828,quality.n.01,2
829,journey.n.01,2
830,eater.n.01,2
831,street.n.01,2
832,parturition.n.01,2
833,musician.n.02,2
834,standard.n.01,2
835,bar.n.08,2
836,cone.n.02,2
837,cart.n.01,2
838,fecal_matter.n.01,2
839,plaster.n.01,2
840,formulation.n.01,2
841,calcite.n.01,2
842,dog.n.01,2
843,cooker.n.01,2
844,edge.n.06,2
845,man-made_fiber.n.01,2
846,section.n.01,2
847,switch.n.01,2
848,liquor.n.01,2
849,lipid.n.01,2
850,paneling.n.01,2
851,thyroid_hormone.n.01,2
852,mythical_monster.n.01,2
853,port.n.01,2
854,disfavor.n.01,2
855,channel.n.02,2
856,hollow.n.02,2
857,sill.n.01,2
858,sandwich.n.01,2
859,bodily_process.n.01,2
860,hole.n.05,2
861,degree.n.06,2
862,cardiopulmonary_exercise.n.01,2
863,united_states.n.01,2
864,fruit_tree.n.01,2
865,wall_unit.n.01,2
866,candy.n.01,2
867,stupefaction.n.01,2
868,coffee.n.01,2
869,evidence.n.03,2
870,painting.n.01,2
871,liliaceous_plant.n.01,2
872,expert.n.01,2
873,stringed_instrument.n.01,2
874,ring.n.08,2
875,selling.n.01,2
876,code.n.02,2
877,safety_belt.n.01,2
878,antioxidant.n.01,2
879,game.n.03,2
880,leather.n.01,2
881,corvine_bird.n.01,2
882,integer.n.01,2
883,associate_degree.n.01,2
884,bin.n.01,2
885,kitchen.n.01,2
886,door.n.01,2
887,cup.n.01,2
888,stock.n.15,2
889,surveying_instrument.n.01,2
890,salad.n.01,2
891,larid.n.01,2
892,engraving.n.01,2
893,change.n.01,2
894,yard.n.02,2
895,phase_of_the_moon.n.01,2
896,sound.n.04,2
897,rack.n.01,2
898,shop.n.01,2
899,concave_shape.n.01,2
900,claw.n.01,2
901,top.n.09,2
902,necktie.n.01,2
903,bath_linen.n.01,2
904,stereo.n.01,2
905,railing.n.01,2
906,groove.n.01,2
907,turbulence.n.03,2
908,swine.n.01,2
909,grasping.n.02,2
910,collar.n.01,2
911,lace.n.01,2
912,spatial_property.n.01,2
913,diversion.n.01,2
914,closet.n.04,2
915,latex.n.01,2
916,pastime.n.01,2
917,topographic_point.n.01,2
918,alga.n.01,2
919,environment.n.02,2
920,sweet_melon.n.01,2
921,bud.n.02,2
922,jersey.n.03,2
923,sofa.n.01,2
924,alloy.n.01,2
925,inclination.n.08,2
926,service_station.n.01,2
927,saying.n.01,2
928,west.n.01,2
929,small_boat.n.01,2
930,message.n.02,2
931,limit.n.06,2
932,trainer.n.01,2
933,water_sport.n.01,2
934,waist_pack.n.01,2
935,pizza.n.01,2
936,narcissus.n.01,2
937,shrub.n.01,2
938,sight.n.02,2
939,stairway.n.01,2
940,sport.n.01,2
941,beginning.n.05,2
942,dentifrice.n.01,2
943,warhorse.n.03,2
944,shore.n.01,2
945,bedroom.n.01,2
946,handcart.n.01,2
947,adhesive_tape.n.01,2
948,beard.n.01,2
949,award.n.02,2
950,body.n.11,2
951,bison.n.01,2
952,bench.n.01,2
953,pillow.n.01,2
954,pan.n.01,2
955,sailor.n.01,2
956,pinniped_mammal.n.01,2
957,london.n.01,2
958,support.n.07,2
959,part.n.09,2
960,chromium.n.01,2
961,conifer.n.01,2
962,address.n.01,2
963,spout.n.01,2
964,corridor.n.01,2
965,dainty.n.01,2
966,animal_group.n.01,2
967,aquatic_bird.n.01,2
968,cargo_ship.n.01,2
969,act.n.02,2
970,working_dog.n.01,2
971,mother.n.01,2
972,oil.n.01,2
973,disparity.n.01,2
974,passage.n.07,2
975,word.n.01,2
976,change_of_location.n.01,2
977,grounder.n.01,2
978,psychological_feature.n.01,2
979,strainer.n.01,2
980,equipment.n.01,2
981,fountain.n.01,2
982,bachelor's_degree.n.01,2
983,hill.n.01,2
984,percoid_fish.n.01,2
985,bad_weather.n.01,2
986,simple_leaf.n.01,2
987,wit.n.01,1
988,mattress.n.01,1
989,confinement.n.03,1
990,attraction.n.03,1
991,safety.n.01,1
992,country.n.04,1
993,merchant.n.01,1
994,inherited_wealth.n.01,1
995,management.n.01,1
996,walker.n.01,1
997,malodor.n.01,1
998,crosspiece.n.02,1
999,mixed_drink.n.01,1
1000,annoyance.n.04,1
1001,physics.n.01,1
1002,peel.n.02,1
1003,temptation.n.01,1
1004,planning.n.03,1
1005,improvement.n.01,1
1006,top.n.01,1
1007,drum.n.01,1
1008,code.n.03,1
1009,keyboard.n.01,1
1010,dynasty.n.01,1
1011,draw.n.09,1
1012,west_germanic.n.01,1
1013,sparkling_wine.n.01,1
1014,congregation.n.01,1
1015,brace.n.09,1
1016,entertainment.n.01,1
1017,westminster.n.01,1
1018,jewelled_headdress.n.01,1
1019,home_appliance.n.01,1
1020,work.n.02,1
1021,photographer.n.01,1
1022,community.n.01,1
1023,system.n.01,1
1024,unfortunate.n.01,1
1025,straight_line.n.01,1
1026,atom.n.02,1
1027,boatman.n.01,1
1028,organic_phenomenon.n.01,1
1029,sprout.n.02,1
1030,novice.n.02,1
1031,quarryman.n.01,1
1032,drain.n.03,1
1033,sombrero.n.01,1
1034,slack_suit.n.01,1
1035,stroke.n.12,1
1036,gardening.n.01,1
1037,peer.n.02,1
1038,billfish.n.02,1
1039,feat.n.01,1
1040,whole.n.02,1
1041,procyonid.n.01,1
1042,past.n.01,1
1043,alarm.n.03,1
1044,season.n.02,1
1045,database.n.01,1
1046,touch.n.05,1
1047,dead_person.n.01,1
1048,badge.n.01,1
1049,athletic_facility.n.01,1
1050,catch.n.06,1
1051,set.n.13,1
1052,form.n.03,1
1053,possession.n.01,1
1054,arachnid.n.01,1
1055,covering_material.n.01,1
1056,advantage.n.01,1
1057,wrench.n.03,1
1058,vapor.n.01,1
1059,work_unit.n.01,1
1060,messenger.n.01,1
1061,tights.n.01,1
1062,algonquian.n.01,1
1063,basket.n.01,1
1064,attractiveness.n.02,1
1065,negative.n.01,1
1066,mexico.n.01,1
1067,great_ape.n.01,1
1068,medical_science.n.01,1
1069,wedge.n.06,1
1070,vacationer.n.01,1
1071,place_of_worship.n.01,1
1072,fly.n.04,1
1073,hose.n.03,1
1074,peer.n.01,1
1075,day.n.04,1
1076,foam.n.01,1
1077,canoe.n.01,1
1078,hole.n.01,1
1079,public_square.n.01,1
1080,accomplishment.n.01,1
1081,gauge.n.01,1
1082,connection.n.03,1
1083,face_mask.n.01,1
1084,organization.n.01,1
1085,marriage.n.03,1
1086,scope.n.01,1
1087,regular_polyhedron.n.01,1
1088,intersection.n.02,1
1089,development.n.04,1
1090,biometric_identification.n.01,1
1091,duck.n.03,1
1092,soup.n.01,1
1093,player.n.01,1
1094,molding.n.02,1
1095,end.n.02,1
1096,indefinite_quantity.n.01,1
1097,dimension.n.01,1
1098,santa_claus.n.01,1
1099,ranch_hand.n.01,1
1100,athletic_contest.n.01,1
1101,clock.n.01,1
1102,color.n.01,1
1103,china.n.01,1
1104,column.n.07,1
1105,repair.n.01,1
1106,compartment.n.01,1
1107,pericarp.n.01,1
1108,topminnow.n.01,1
1109,property.n.01,1
1110,engraving.n.02,1
1111,spermatophyte.n.01,1
1112,colorado.n.01,1
1113,drop.n.02,1
1114,mound.n.04,1
1115,wetness.n.01,1
1116,expansion.n.03,1
1117,high-angle_gun.n.01,1
1118,military_unit.n.01,1
1119,european.n.01,1
1120,flow.n.01,1
1121,clergyman.n.01,1
1122,medical_care.n.01,1
1123,creator.n.02,1
1124,chart.n.01,1
1125,vehicle.n.01,1
1126,wall.n.01,1
1127,friend.n.01,1
1128,work_surface.n.01,1
1129,experiment.n.02,1
1130,board.n.09,1
1131,inclination.n.01,1
1132,spectator.n.01,1
1133,use.n.01,1
1134,sheath.n.01,1
1135,depilation.n.02,1
1136,secretion.n.02,1
1137,floor.n.01,1
